"name","link"
"Datsun GO A (Petrol) - Rs. 3,46,482","http://carzoom.in/car-specification/datsun-go-a-petrol/"
"Datsun GO T (Petrol) - Rs. 3,69,999","http://carzoom.in/car-specification/datsun-go-t-petrol/"
"Datsun GO T Opt (Petrol) - Rs. 4,19,912","http://carzoom.in/car-specification/datsun-go-t-opt-petrol/"
"Datsun Go Plus D (Petrol) - Rs. 3,79,642","http://carzoom.in/car-specification/datsun-go-plus-d-petrol/"
"Datsun Go Plus D1 (Petrol) - Rs. 3,82,238","http://carzoom.in/car-specification/datsun-go-plus-d1-petrol/"
"Datsun Go Plus A (Petrol) - Rs. 4,15,143","http://carzoom.in/car-specification/datsun-go-plus-a-petrol/"
"Datsun Go Plus T (Petrol) - Rs. 4,61,319","http://carzoom.in/car-specification/datsun-go-plus-t-petrol/"
"Datsun Go Plus T Opt (Petrol) - Rs. 4,81,319","http://carzoom.in/car-specification/datsun-go-plus-t-opt-petrol/"
"Ferrari 458 Italia Coupe (Petrol) - Rs. 2,52,00,000","http://carzoom.in/car-specification/ferrari-458-italia-coupe-petrol/"
"Ferrari 599 GTB Fiorano Coupe (Petrol) - Rs. 3,37,00,000","http://carzoom.in/car-specification/ferrari-599-gtb-fiorano-coupe-petrol/"
"Ferrari California Convertible (Petrol) - Rs. 2,20,00,000","http://carzoom.in/car-specification/ferrari-california-convertible-petrol/"
"Ferrari FF 6.3L V12 (Petrol) - Rs. 3,40,00,000","http://carzoom.in/car-specification/ferrari-ff-6-3l-v12-petrol/"
"Fiat Avventura Active (Petrol) - Rs. 6,29,187","http://carzoom.in/car-specification/fiat-avventura-active-petrol/"
"Fiat Avventura Active (Diesel) - Rs. 7,23,720","http://carzoom.in/car-specification/fiat-avventura-active-diesel/"
"Fiat Avventura Dynamic (Petrol) - Rs. 7,36,245","http://carzoom.in/car-specification/fiat-avventura-dynamic-petrol/"
"Fiat Avventura Dynamic (Diesel) - Rs. 8,00,144","http://carzoom.in/car-specification/fiat-avventura-dynamic-diesel/"
"Fiat Avventura Emotion (Diesel) - Rs. 8,54,171","http://carzoom.in/car-specification/fiat-avventura-emotion-diesel/"
"Fiat Linea Active 1.4 (Petrol) - Rs. 7,00,480","http://carzoom.in/car-specification/fiat-linea-active-1-4-petrol/"
"Fiat Linea Active T-Jet (Petrol) - Rs. 7,99,141","http://carzoom.in/car-specification/fiat-linea-active-t-jet-petrol/"
"Fiat Linea Active 1.3 (Diesel) - Rs. 8,47,479","http://carzoom.in/car-specification/fiat-linea-active-1-3-diesel/"
"Fiat Linea Dynamic 1.4 (Petrol) - Rs. 9,15,651","http://carzoom.in/car-specification/fiat-linea-dynamic-1-4-petrol/"
"Fiat Linea Dynamic 1.3 (Diesel) - Rs. 9,62,521","http://carzoom.in/car-specification/fiat-linea-dynamic-1-3-diesel/"
"Fiat Linea Emotion T-Jet (Petrol) - Rs. 9,67,092","http://carzoom.in/car-specification/fiat-linea-emotion-t-jet-petrol/"
"Fiat Linea Emotion 1.3 (Diesel) - Rs. 10,09,055","http://carzoom.in/car-specification/fiat-linea-emotion-1-3-diesel/"
"Fiat Linea Classic 1.4L (Petrol) - Rs. 6,12,439","http://carzoom.in/car-specification/fiat-linea-classic-1-4l-petrol/"
"Fiat Linea Classic 1.3L Multijet (Diesel) - Rs. 7,13,393","http://carzoom.in/car-specification/fiat-linea-classic-1-3l-multijet-diesel/"
"Fiat Linea Classic Plus 1.3L Multijet (Diesel) - Rs. 7,68,843","http://carzoom.in/car-specification/fiat-linea-classic-plus-1-3l-multijet-diesel/"
"Fiat Punto EVO Active (Petrol) - Rs. 4,98,577","http://carzoom.in/car-specification/fiat-punto-evo-active-petrol/"
"Fiat Punto EVO Dynamic (Petrol) - Rs. 5,41,233","http://carzoom.in/car-specification/fiat-punto-evo-dynamic-petrol/"
"Fiat Punto EVO Active (Diesel) - Rs. 5,93,180","http://carzoom.in/car-specification/fiat-punto-evo-active-diesel/"
"Fiat Punto EVO Dynamic (Diesel) - Rs. 6,55,596","http://carzoom.in/car-specification/fiat-punto-evo-dynamic-diesel/"
"Fiat Punto EVO Emotion (Diesel) - Rs. 7,19,457","http://carzoom.in/car-specification/fiat-punto-evo-emotion-diesel/"
"Fiat Punto EVO Emotion (Petrol) - Rs. 7,22,860","http://carzoom.in/car-specification/fiat-punto-evo-emotion-petrol/"
"Fiat Punto EVO 90-HP (Diesel) - Rs. 7,56,805","http://carzoom.in/car-specification/fiat-punto-evo-90-hp-diesel/"
"Fiat Viaggio - Expected Specification - Rs. 6,00,000","http://carzoom.in/car-specification/fiat-viaggio-1-4t-mt-petrol/"
"Force One EX 7-STR (Diesel) - Rs. 9,26,805","http://carzoom.in/car-specification/force-one-ex-7-str-diesel/"
"Force One SX ABS 7 STR (Diesel) - Rs. 12,27,723","http://carzoom.in/car-specification/force-one-sx-abs-7-str-diesel/"
"Force One SX ABS 6 STR (Diesel) - Rs. 12,35,226","http://carzoom.in/car-specification/force-one-sx-abs-6-str-diesel/"
"Force One LX 7 STR 4WD (Diesel) - Rs. 13,98,443","http://carzoom.in/car-specification/force-one-lx-7-str-4wd-diesel/"
"Ford Classic 1.6 Duratec LXi (Petrol) - Rs. 5,06,000","http://carzoom.in/car-specification/ford-classic-1-6-duratec-lxi-petrol/"
"Ford Classic 1.6 Duratec CLXi (Petrol) - Rs. 5,77,200","http://carzoom.in/car-specification/ford-classic-1-6-duratec-clxi-petrol/"
"Ford Classic 1.4 TDCi LXi (Diesel) - Rs. 6,47,000","http://carzoom.in/car-specification/ford-classic-1-4-tdci-lxi-diesel/"
"Ford Classic 1.6 Duratec Titanium (Petrol) - Rs. 6,58,000","http://carzoom.in/car-specification/ford-classic-1-6-duratec-titanium-petrol/"
"Ford Classic 1.4 TDCi CLXi (Diesel) - Rs. 6,95,500","http://carzoom.in/car-specification/ford-classic-1-4-tdci-clxi-diesel/"
"Ford Classic 1.4 TDCi Titanium (Diesel) - Rs. 7,68,200","http://carzoom.in/car-specification/ford-classic-1-4-tdci-titanium-diesel/"
"Ford EcoSport Ambiente 1.5 Ti-VCT (Petrol) - Rs. 6,75,000","http://carzoom.in/car-specification/ford-ecosport-ambiente-1-5-petrol-ti-vct/"
"Ford EcoSport Trend 1.5 Ti-VCT (Petrol) - Rs. 7,70,500","http://carzoom.in/car-specification/ford-ecosport-trend-1-5-petrol-ti-vct/"
"Ford EcoSport Ambiente 1.5 TDCi (Diesel) - Rs. 7,87,100","http://carzoom.in/car-specification/ford-ecosport-ambiente-1-5-diesel-tdci/"
"Ford EcoSport Trend 1.5 TDCi (Diesel) - Rs. 8,59,500","http://carzoom.in/car-specification/ford-ecosport-trend-1-5-diesel-tdci/"
"Ford EcoSport Titanium 1.5 Ti-VCT (Petrol) - Rs. 8,70,000","http://carzoom.in/car-specification/ford-ecosport-titanium-1-5-petrol-ti-vct/"
"Ford EcoSport Titanium 1.0 Ecoboost (Petrol) - Rs. 9,12,900","http://carzoom.in/car-specification/ford-ecosport-titanium-1-0-petrol-ecoboost/"
"Ford EcoSport 1.5 TDCi Titanium (Diesel) - Rs. 9,59,100","http://carzoom.in/car-specification/ford-ecosport-1-5-tdci-titanium-diesel/"
